% of Total,% من الإجمالي
", {0} failed",، فشل {0}
Description / الوصف,الوصف
Design Config — إعدادات التصميم,إعدادات التصميم
Design Configuration,إعدادات التصميم
Details,التفاصيل
Details / التفاصيل,التفاصيل
Directory,الدليل
Disable Auto-Renew,إلغاء التجديد التلقائي
Discount %,نسبة الخصم
Discount % / نسبة الخصم,نسبة الخصم
Discussion,نقاش
Display / العرض,العرض
Document (Back) / المستند (وجه خلفي),المستند (وجه خلفي)
Document (Front) / المستند (وجه أمامي),المستند (وجه أمامي)
Document Number / رقم المستند,رقم المستند
Document Type / نوع المستند,نوع المستند
Documentation Entry,مدخل التوثيق
Documentation Type,نوع التوثيق
Documentation — التوثيق,التوثيق
Download QR Code,تحميل رمز QR
Draft,مسودة
Draft / مسودة,مسودة
Draft → Submitted → Confirmed → Checked In → Checked Out → Invoiced,مسودة → مقدم → مؤكد → مسجل الدخول → مغادر → مفوتر
Driver License / رخصة القيادة,رخصة القيادة
Driving License,رخصة القيادة
Dropped,انسحب
Duration (hours),المدة (ساعات)
Duration (min),المدة (دقائق)
Dynamic Pricing,التسعير الديناميكي
Dynamic pricing applied: {0},تم تطبيق التسعير الديناميكي: {0}
"Each booking, day pass, or amenity usage deducts credits. Top-ups and plan renewals add credits.",كل حجز أو تصريح يومي أو استخدام مرافق يخصم من الرصيد. الشحن وتجديد الخطة يضيفان رصيداً.
Each confirmed booking generates a QR code for self-service check-in.,كل حجز مؤكد ينشئ رمز QR لتسجيل الدخول الذاتي.
"Each member has a credit wallet showing current balance, total earned, and total spent.",لكل عضو محفظة رصيد تعرض الرصيد الحالي والمكتسب والمنفق.
"Each plan includes benefits: booking credits, locker access, event invites, etc.",كل خطة تتضمن مزايا: رصيد حجوزات، وصول للخزائن، دعوات فعاليات، إلخ.
"Each type can have its own default pricing structure: hourly, daily, or monthly rates.",كل نوع يمكن أن يكون له هيكل تسعير افتراضي خاص: أسعار ساعية أو يومية أو شهرية.
Early Bird,الحجز المبكر
Edit Profile,تعديل الملف الشخصي
EGP,ج.م.
Email,البريد الإلكتروني
Email / البريد الإلكتروني,البريد الإلكتروني
Employee ↔ Member,موظف ↔ عضو
Enable AI Features,تفعيل ميزات الذكاء الاصطناعي
Enable Analytics / تفعيل التحليلات,تفعيل التحليلات
Enable ARKAMOR IoT,تفعيل ARKAMOR IoT
Enable ARKANOOR Hub,تفعيل سوق ARKANOOR
Enable Auto-Renew,تفعيل التجديد التلقائي
Enable Community / تفعيل المجتمع,تفعيل المجتمع
Enable Day Pass / تفعيل تصريح اليوم,تفعيل تصريح اليوم
Enable Events / تفعيل الفعاليات,تفعيل الفعاليات
Enable Member Directory / تفعيل دليل الأعضاء,تفعيل دليل الأعضاء
Enable Multi-Location / تفعيل تعدد الفروع,تفعيل تعدد الفروع
Enable Online Payments,تفعيل الدفع الإلكتروني
Enable RTL,تفعيل RTL
Enable Trial / تفعيل التجربة,تفعيل التجربة
Enable VoIP,تفعيل VoIP
End,النهاية
End Date,تاريخ النهاية
End Date & Time / تاريخ ووقت الانتهاء,تاريخ ووقت الانتهاء
End Date / تاريخ النهاية,تاريخ النهاية
End date must be after start date,تاريخ الانتهاء يجب أن يكون بعد تاريخ البدء
End Time,وقت الانتهاء
End time must be after start time,يجب أن يكون وقت النهاية بعد وقت البداية
End Time must be after Start Time,يجب أن يكون وقت النهاية بعد وقت البداية
End — النهاية,النهاية
"End-to-end platform for managing shared workspaces — from booking and membership to billing, community, and marketplace. Built on ERPNext for seamless financial integration.",منصة متكاملة لإدارة مساحات العمل المشتركة — من الحجز والعضوية إلى الفوترة والمجتمع والسوق. مبنية على ERPNext للتكامل المالي السلس.
Engagement,التفاعل
English,الإنجليزية
English Font,الخط الإنجليزي
English terms are required,الشروط بالإنجليزية مطلوبة
Enroll,التسجيل
Enrolled,مسجل
Enrollment Date,تاريخ التسجيل
Enter your full name,أدخل اسمك الكامل
Enterprise,مؤسسي
Enterprise Co-Working Space Management,إدارة مساحات العمل المشتركة للمؤسسات
Entity,الكيان
Entity Relationships — علاقات البيانات,علاقات البيانات
Entity Type,نوع الكيان
Entity Type — نوع الكيان,نوع الكيان
Entity — الكيان,الكيان
"Entries support Markdown, images, and code examples for technical documentation.",تدعم الإدخالات Markdown والصور وأمثلة البرمجة للتوثيق الفني.
ERPNext Branch / فرع ERPNext,فرع ERPNext
Evening,مسائي
Event,فعالية
Event Attendee,حضور فعالية
Event coordination,تنسيق الفعاليات
Event is full,الفعالية ممتلئة
Event Management,إدارة الفعاليات
Event Management & RSVP,إدارة الفعاليات وتأكيد الحضور
Event Name (Arabic) / اسم الفعالية بالعربية,اسم الفعالية بالعربية
Event Name / اسم الفعالية,اسم الفعالية
Event Registration,تسجيل في فعالية
Event Registration Update,تحديث تسجيل الفعالية
Event Space,قاعة فعاليات
Event Space — قاعة فعاليات,قاعة فعاليات
Event Type / نوع الفعالية,نوع الفعالية
Events,الفعاليات
Events can be open to all or restricted to membership tiers.,يمكن أن تكون الفعاليات مفتوحة للجميع أو مقيدة بمستويات العضوية.
Events — الفعاليات,الفعاليات
"Every credit movement is logged with type, amount, reference document, and timestamp.",تُسجَّل كل حركة رصيد بالنوع والمبلغ والمستند المرجعي والتوقيت.
"Exam room scheduling, specialist time-slots. Patient check-in via QR, billing integration with insurance.",جدولة غرف الفحص، مواعيد المتخصصين. تسجيل المرضى عبر QR، تكامل الفوترة مع التأمين.
Exchange Rate,سعر الصرف
Expected,متوقع
Expected & checked in,متوقع ومسجل الدخول
Expected Arrival,الوصول المتوقع
Expected Departure,المغادرة المتوقعة
Expected departure must be after expected arrival,وقت المغادرة المتوقع يجب أن يكون بعد وقت الوصول المتوقع
Expected Start,تاريخ البدء المتوقع
Expert,خبير
Expire,انتهاء
Expired,منتهي
expired,منتهي
Expired / منتهي,منتهي
Expires,تنتهي في
Expires At,ينتهي في
Expiry / الانتهاء,الانتهاء
Expiry Date / تاريخ الانتهاء,تاريخ الانتهاء
Explore,استكشاف
Explore Connections,استكشاف العلاقات
Explore Relationships,استكشاف العلاقات
Explore your ARKSpace tools:,استكشف أدوات آرك سبيس:
Explorer,المستكشف
Failed,فشل
Failed to cancel booking,فشل إلغاء الحجز
Failed to generate QR for booking {0},فشل في توليد QR للحجز {0}
Failed to initiate payment. Please check your payment gateway configuration.,فشل بدء الدفع. يرجى التحقق من إعدادات بوابة الدفع.
FAQ,الأسئلة الشائعة
Fawry,فوري
Feature,الميزة
Features,الميزات
Fee,الرسوم
Fee / الرسوم,الرسوم
Fee Amount,مبلغ الرسوم
Feed,الخلاصة
Feedback,ملاحظات
Feedback & Notes,الملاحظات والتقييم
Field Restrictions,قيود الحقول
"Fill in visitor details and save, or use Quick Walk-in for immediate check-in.",املأ تفاصيل الزائر واحفظ، أو استخدم الدخول السريع لتسجيل الدخول الفوري.
Filter,تصفية
Filter by branch,تصفية حسب الفرع
Financial / البيانات المالية,البيانات المالية
First Membership Plan — خطة العضوية الأولى,خطة العضوية الأولى
Fiscal Year Start,بداية السنة المالية
Fitness & Wellness,اللياقة والعافية
Fixed Amount,مبلغ ثابت
Floor,الطابق
Floor / الطابق,الطابق
Floor Plan,مخطط الطابق
Floor plan monitoring,مراقبة مخطط الطابق
Floor Plan — مخطط الطابق,مخطط الطابق
Floor — الطابق,الطابق
Flow,التدفق
"Follow the onboarding wizard to learn how ARKSpace works, or jump directly to any section.",اتبع معالج الإعداد لتتعرف على طريقة عمل أرك سبيس، أو انتقل مباشرة إلى أي قسم.
Follow Up,المتابعة
Follow Up Date,تاريخ المتابعة
Forecast,التوقعات
Forecast Start,بدء التنبؤ
Foreign Company Docs / مستندات شركة أجنبية,مستندات شركة أجنبية
frappe_visual is required. Please install it first.,مكتبة frappe_visual مطلوبة. يرجى تثبيتها أولاً.
Free,مجاني
Free Session,جلسة مجانية
Free Trial,تجربة مجانية
Fri,الجمعة
Friday,الجمعة
From,من
From / من,من
From Date,من تاريخ
From Member / من العضو,من العضو
From Member Name / اسم العضو المرسل,اسم العضو المرسل
Front Desk,الاستقبال
Front Desk Bundle,حزمة الاستقبال
Full Admin Bundle,حزمة المسؤول الكاملة
Full Day,يوم كامل
Full Documentation,التوثيق الكامل
Full ERP Integration (ERPNext),تكامل ERP كامل (ERPNext)
Full Interactive Tour,جولة تفاعلية كاملة
Full Name,الاسم الكامل
Full system configuration,تكوين النظام الكامل
Fullscreen,شاشة كاملة
Gallery,المعرض
Gallery Images,معرض الصور
Gateway,بوابة الدفع
Gateway Details,تفاصيل البوابة
Gateway Fee,رسوم البوابة
Gateway Reference,مرجع البوابة
Gateway Response,استجابة البوابة
Gateway Status,حالة البوابة
General,عام
Generate QR Code,إنشاء رمز QR
Generating QR Code...,جارٍ إنشاء رمز QR...
Generating QR codes for today's bookings...,جارٍ إنشاء رموز QR لحجوزات اليوم...
Get Day Pass,احصل على تصريح
Get instant access to our workspace — no membership required,احصل على وصول فوري لمساحة العمل — بدون عضوية
Get Started,ابدأ الآن
Getting Started — ابدأ الآن,ابدأ الآن
Go to Login,الذهاب لتسجيل الدخول
Gold,ذهبي
Grand Total,المجموع الكلي
Grid View — عرض الشبكة,عرض الشبكة
Group By,تجميع حسب
Guest,الضيف
Guest Name,اسم الضيف
Guest Type,نوع الضيف
Hackathon,هاكاثون
Half Day,نصف يوم
Handle membership lifecycle,إدارة دورة حياة العضوية
Help,مساعدة
Here are the visual tools available to you:,إليك الأدوات البصرية المتاحة لك:
Here's how the booking flow works:,هكذا يعمل تدفق الحجوزات:
Host,المضيف
Host (Member),المضيف (العضو)
Host Department,قسم المضيف
Host Name,اسم المضيف
Host Notification,إشعار المضيف
Host:,المضيف:
Hot Desk,مكتب مشترك
Hot Desk — مكتب مشترك,مكتب مشترك
"Hot Desk, Private Office, Meeting Room…",مكتب مشترك، مكتب خاص، غرفة اجتماعات...
Hourly,بالساعة
Hourly Price,سعر الساعة
Hourly Rate,السعر بالساعة
Hourly · Daily · Monthly,ساعي · يومي · شهري
Hours Booked,الساعات المحجوزة
hours included,ساعة متضمنة
How Spaces & Bookings Work,كيف تعمل المساحات والحجوزات
hr,ساعة
Icon,أيقونة
Icon Class,فئة الأيقونة
Icon Library,مكتبة الأيقونات
Icons,الأيقونات
ID Number,رقم الهوية
ID Type,نوع الهوية
ID Verification,التحقق من الهوية
Idea,فكرة
"If you have any questions, please contact our front desk.",إذا كان لديك أي أسئلة، يرجى التواصل مع الاستقبال.
Image / الصورة,الصورة
In Progress,قيد التنفيذ
Included Credits,الرصيد المشمول
Included Hours,الساعات المشمولة
Included Hours / Month,الساعات المشمولة / شهر
Industry Use-Cases — حالات الاستخدام,حالات الاستخدام
Initial Credits,الرصيد الأولي
Initiated,مبدوء
Initiated At,بدأ في
Initiating payment...,جارٍ بدء الدفع...
Instructor,المدرب
Insufficient credits,رصيد غير كافٍ
"Insufficient credits. Available: {0}, Requested: {1}",رصيد غير كافٍ. المتاح: {0}، المطلوب: {1}
Integration Setup,إعداد التكامل
Integrations,التكاملات
Integrations — التكاملات,التكاملات
Interactive 2D Floor Plan,مخطط طابق تفاعلي ثنائي الأبعاد
Interest,الاهتمام
Interest Level,مستوى الاهتمام
Interested,مهتم
Interested Plan,الخطة المهتم بها
Interested Space Type,نوع المساحة المهتم بها
Intermediate,متوسط
Internal Notes,ملاحظات داخلية
Interview,مقابلة
Invalid action. Use 'accept' or 'decline'.,إجراء غير صالح. استخدم 'قبول' أو 'رفض'.
Invalid QR code — authentication failed,رمز QR غير صالح — فشل التحقق
Invalid QR code — missing parameters,رمز QR غير صالح — معلمات مفقودة
Invalid webhook signature,توقيع الـ webhook غير صالح
Invoice,الفاتورة
Invoice Prefix,بادئة الفاتورة
Invoices,الفواتير
Iqama,الإقامة
Is Active / نشط,نشط
Is Anonymous / مجهول,مجهول
Is Featured / مميز,مميز
Is Free / مجاني,مجاني
Is Mandatory,إلزامي
Is Pinned / مثبت,مثبت
Is Trial,تجربة
Issue at front desk or online. QR code generated for entry.,إصدار من الاستقبال أو عبر الإنترنت. يتم إنشاء رمز QR للدخول.
Issue Date / تاريخ الإصدار,تاريخ الإصدار
Issuing Authority / جهة الإصدار,جهة الإصدار
It will be auto-renewed.,سيتم تجديدها تلقائياً.
Job Posting,إعلان وظيفي
Join ARKSpace,انضم إلى ARKSpace
Key business workflows in ARKSpace,سير العمل الرئيسية في أرك سبيس
Knowledge Base,قاعدة المعرفة
Language,اللغة
Last 30 Days,آخر 30 يوم
Last 6 Months,آخر 6 أشهر
Last 60 Days,آخر 60 يوم
Last 90 Days,آخر 90 يوم
Last Reviewed,آخر مراجعة
Last Year,السنة الماضية
Latitude / خط العرض,خط العرض
Lead,عميل محتمل
Lead already converted,تم تحويل العميل المحتمل بالفعل
Lead Conversion,تحويل العملاء المحتملين
"Lead conversion funnel, tour scheduling, follow-up tracking.",مسار تحويل العملاء، جدولة الجولات، تتبع المتابعات.
Lead Name,اسم العميل المحتمل
Lead Pipeline,مسار العملاء المحتملين
Lead Prefix,بادئة العميل المحتمل
Leave 0 for free trial / اترك 0 للتجربة المجانية,اترك 0 للتجربة المجانية
Legal Document,مستند قانوني
Legal Document / المستند القانوني,المستند القانوني
Legal Documents,المستندات القانونية
Legal Documents / المستندات القانونية,المستندات القانونية
Legal Documents — المستندات القانونية,المستندات القانونية
Legal Documents — المستندات القانونية للعقود,المستندات القانونية للعقود
Legend,مفتاح الرموز
Let's set up your co-working space in a few easy steps.,دعنا نقوم بإعداد مساحة العمل في خطوات سهلة.
Level,المستوى
Like,إعجاب
Like ♡,إعجاب ♡
Liked,أعجبني
Liked!,تم الإعجاب!
Likes Count / عدد الإعجابات,عدد الإعجابات
Link Color,لون الرابط
Link Hover Color,لون الرابط عند التمرير
"Link legal documents (NDAs, terms of service, waivers) to specific contracts.",اربط المستندات القانونية (اتفاقيات السرية، شروط الخدمة، إخلاءات المسؤولية) بعقود محددة.
Link related documentation entries to help readers discover connected topics and guides.,اربط إدخالات التوثيق ذات الصلة لمساعدة القراء على اكتشاف المواضيع والأدلة المرتبطة.
Link spaces to floor zones for the Live Floor Plan view.,اربط المساحات بمناطق الطابق لعرض المخطط التفاعلي.
Link to Spaces,الربط بالمساحات
Linked Documents,المستندات المرتبطة
Links,الروابط
Live,مباشر
Live Floor Plan,المخطط الحي للطابق
Live Plan,المخطط المباشر
Load More,تحميل المزيد
Loading command center...,جاري تحميل مركز القيادة...
Loading community...,جاري تحميل المجتمع...
Loading exploration…,جارِ تحميل الاستكشاف…
Loading explorer...,جاري تحميل المستكشف...
Loading flow...,جاري تحميل التدفق...
Loading graph...,جاري تحميل الرسم البياني...
Localization,التعريب
Location / الموقع,الموقع
Login here,سجّل الدخول هنا
Long Booking,حجز طويل
Longitude / خط الطول,خط الطول
Lost,مفقود
lost,مفقود
Lunch & Learn,غداء وتعلم
Main Branch,الفرع الرئيسي
Main Image,الصورة الرئيسية
"Maintain a library of legal documents — terms of service, NDAs, waivers, and policies.",أنشئ مكتبة مستندات قانونية — شروط الخدمة، اتفاقيات السرية، إخلاءات المسؤولية، والسياسات.
Maintenance,صيانة
Maintenance Spaces / مساحات الصيانة,مساحات الصيانة
Maintenance — صيانة,صيانة
Manage multiple locations with independent settings but centralized reporting.,أدر مواقع متعددة بإعدادات مستقلة لكن تقارير مركزية.
Manage spaces and process bookings,إدارة المساحات ومعالجة الحجوزات
Manager,المدير
Manager Bundle,حزمة المدير
Manual,يدوي
Mark one image as the primary thumbnail that appears in listings and cards.,حدد صورة واحدة كصورة مصغرة رئيسية تظهر في القوائم والبطاقات.
Mark {0} booking(s) as No Show?,تحديد {0} حجز(حجوزات) كلم يحضر؟
Marketplace,السوق
Marketplace access,الوصول إلى السوق
Master Legal Library,المكتبة القانونية الرئيسية
Mastery,إتقان
Max Adjustment Cap,حد أقصى للتعديل
Max Attendees / الحد الأقصى للحضور,الحد الأقصى للحضور
Max Capacity / السعة القصوى,السعة القصوى
Max Guests,الحد الأقصى للضيوف
Max Hours,الحد الأقصى (ساعات)
Max Participants,الحد الأقصى للمشاركين
Max Trial Days / أقصى أيام التجربة,أقصى أيام التجربة
Media,الوسائط
Medical Clinics,العيادات الطبية
Meeting,اجتماع
Meeting Room,غرفة اجتماعات
Meeting Room Hours / Month,ساعات غرفة الاجتماعات / شهر
Meeting Room — غرفة اجتماعات,غرفة اجتماعات
meeting rooms,غرف اجتماعات
Meeting URL,رابط الاجتماع
Meetup,لقاء
Member,عضو
Member (Customer),العضو (العميل)
Member / العميل,العميل
Member Activity,نشاط العضو
Member Analytics,تحليلات الأعضاء
Member Bundle,حزمة العضو
Member check-in/check-out,تسجيل دخول/خروج الأعضاء
Member Contract,عقد العضو
Member Credit Wallet,محفظة رصيد العضو
Member Details / بيانات العميل,بيانات العميل
Member Directory,دليل الأعضاء
Member Email,البريد الإلكتروني للعضو
Member Events,فعاليات الأعضاء
Member Growth,نمو الأعضاء
Member Name,اسم العضو
Member Name / اسم العميل,اسم العميل
Member not found,العضو غير موجود
Member Signature / توقيع العميل,توقيع العميل
Member Skill,مهارة العضو
Member Skills — مهارات العضو,مهارات العضو
Member Tier,مستوى العضو
Member — العضو,العضو
Members,الأعضاء
Members / الأعضاء,الأعضاء
"Members browse available spaces, create bookings, and go through the confirmation and check-in flow.",يتصفح الأعضاء المساحات المتاحة وينشئون الحجوزات ويمرون بتدفق التأكيد وتسجيل الدخول.
Members can list their skills and expertise for the community directory and networking.,يمكن للأعضاء إدراج مهاراتهم وخبراتهم في دليل المجتمع وشبكة التواصل.
"Members can share knowledge, ask questions, and post announcements on the community board.",يمكن للأعضاء مشاركة المعرفة وطرح الأسئلة ونشر الإعلانات في لوحة المجتمع.
"Members choose a plan, register, and enjoy active membership with renewal and upgrade options.",يختار الأعضاء خطة ويسجلون ويتمتعون بعضوية نشطة مع خيارات التجديد والترقية.
"Members connect, share events, and build a vibrant co-working community.",يتواصل الأعضاء ويشاركون الفعاليات ويبنون مجتمع عمل مشترك نابض بالحياة.
Members will appear here when they connect with each other,سيظهر الأعضاء هنا عندما يتواصلون مع بعضهم
Membership,العضوية
Membership / العضوية,العضوية
Membership Analytics,تحليلات العضوية
Membership Card,بطاقة العضوية
Membership created: {0},تم إنشاء العضوية: {0}
Membership Credit Applied,رصيد العضوية المطبق
Membership dashboard,لوحة العضويات
Membership Details,تفاصيل العضوية
Membership Distribution,توزيع العضويات
Membership Expiring Soon,العضوية تنتهي قريباً
Membership Expiring Soon — {{ doc.membership_plan }},عضويتك تنتهي قريباً — {{ doc.membership_plan }}
Membership Expiry Reminder,تذكير انتهاء العضوية
Membership Expiry Reminder — {0} days,تذكير انتهاء العضوية — {0} يوم
Membership Lifecycle,دورة حياة العضوية
Membership lifecycle: from plan selection to renewal.,دورة حياة العضوية: من اختيار الخطة إلى التجديد.
Membership Payment / دفعة عضوية,دفعة عضوية
Membership Plan,خطة العضوية
Membership plan {0} — {1},خطة العضوية {0} — {1}
Membership Plans — خطط العضوية,خطط العضوية
Membership Prefix,بادئة العضوية
Membership Receipt,إيصال العضوية
Membership renewed! New membership: {0},تم تجديد العضوية! العضوية الجديدة: {0}
Membership Revenue,إيرادات العضويات
Membership Revenue / إيرادات العضويات,إيرادات العضويات
Membership transferred from {0} to {1},تم نقل العضوية من {0} إلى {1}
Membership transferred to {0},تم نقل العضوية إلى {0}
Membership Welcome,ترحيب بالعضوية
Membership {0} created! Credit: {1},تم إنشاء العضوية {0}! الرصيد: {1}
Membership {0} — Plan: {1} ({2}),العضوية {0} — الخطة: {1} ({2})
Membership — عضوية,عضوية
Memberships,العضويات
Memberships — العضويات,العضويات
Message / الرسالة,الرسالة
Messaging,الرسائل
Meta,البيانات الوصفية
Method,الطريقة
Min Hours,الحد الأدنى (ساعات)
Minimum Rate,الحد الأدنى للسعر
Minimum Rate Floor,حد أدنى للسعر
Mode,الوضع
Module Map — خريطة الوحدات,خريطة الوحدات
Module Name,اسم الوحدة
Module Structure,هيكل الوحدة
"Module, Action, Field, Report",وحدة، إجراء، حقل، تقرير
Mon,الإثنين
Monday,الإثنين
Month,الشهر
month,شهر
Month Revenue,إيرادات الشهر
Monthly,شهري
Monthly / شهري,شهري
Monthly Bookings,الحجوزات الشهرية
Monthly Budget,الميزانية الشهرية
Monthly Price,السعر الشهري
Monthly price must be greater than zero,السعر الشهري يجب أن يكون أكبر من صفر
Monthly Rate,السعر الشهري
Monthly Revenue,الإيرادات الشهرية
Multi-Branch Centralized,إدارة مركزية متعددة الفروع
Multi-Branch Management,إدارة متعددة الفروع
Multi-Location / تعدد الفروع,تعدد الفروع
Multi-Vendor Marketplace,سوق متعدد البائعين
"Multi-vendor marketplace for co-working services, supplies, equipment rental. Cross-branch inventory and fulfillment.",سوق متعدد البائعين لخدمات العمل المشتركة والمستلزمات وتأجير المعدات. مخزون وتنفيذ عبر الفروع.
"Multiple print formats available: bilingual (AR/EN), Arabic-only, and English-only.",تتوفر تنسيقات طباعة متعددة: ثنائي اللغة (عربي/إنجليزي)، عربي فقط، وإنجليزي فقط.
Multiplier,مضاعف
Multiplier must be greater than zero,المضاعف يجب أن يكون أكبر من صفر
My Connections,اتصالاتي
My Memberships,عضوياتي
My Payments,مدفوعاتي
My Profile,ملفي الشخصي
My Profile — ARKSpace,ملفي الشخصي — أرك سبيس
m²,م²
National ID,الهوية الوطنية
National ID / البطاقة الشخصية,البطاقة الشخصية
Navigation History,سجل التنقل
Need at least 3 months of data,يلزم بيانات لا تقل عن 3 أشهر
Need Follow Up,يحتاج متابعة
Need more help?,تحتاج مزيداً من المساعدة؟
Negotiating,قيد التفاوض
Net Amount,المبلغ الصافي
Net Amount / الصافي,الصافي
Net Growth,النمو الصافي
Net Received,صافي المستلم
Networking,تواصل
Networking Request,طلب تواصل
Networking Request Accepted,تم قبول طلب التواصل
Networking — التواصل,التواصل
New,جديد
New Booking,حجز جديد
New Bookings / حجوزات جديدة,حجوزات جديدة
New Community Post,منشور مجتمع جديد
New Members,أعضاء جدد
New Members / أعضاء جدد,أعضاء جدد
New Networking Request,طلب تواصل جديد
New Plan,الخطة الجديدة
New Post,منشور جديد
New → Active → Expiring → Expired. Auto-renewal and manual renewal supported.,جديد → نشط → قيد الانتهاء → منتهي. يدعم التجديد التلقائي واليدوي.
Next,التالي
Next Follow Up,المتابعة التالية
No,لا
No account found,لم يتم العثور على حساب
No active memberships,لا توجد عضويات نشطة
No analytics data available for the selected period.,لا توجد بيانات تحليلية للفترة المحددة.
No attendees registered yet,لا يوجد حاضرون مسجلون بعد
No available spaces found,لم يتم العثور على مساحات متاحة
No Branch,بدون فرع
No branch data available,لا توجد بيانات فروع متاحة
No community data yet,لا توجد بيانات مجتمع بعد
No invoices found,لم يتم العثور على فواتير
No linked customer account found. Contact support to link your account.,لم يتم العثور على حساب عميل مرتبط. تواصل مع الدعم لربط حسابك.
No linked Customer for {0}. Invoice not created.,لا يوجد عميل مرتبط بـ {0}. لم يتم إنشاء الفاتورة.
No linked Customer found for {0}. Sales Invoice was not created.,لم يتم العثور على عميل مرتبط بـ {0}. لم يتم إنشاء فاتورة.
No members found,لم يتم العثور على أعضاء
No membership found,لم يتم العثور على عضوية
No online payments,لا توجد مدفوعات إلكترونية
No other plans available.,لا توجد خطط أخرى متاحة.
No Plan (Free Account),بدون خطة (حساب مجاني)
No posts yet,لا توجد منشورات بعد
No posts yet. Be the first to share!,لا توجد منشورات بعد. كن أول من يشارك!
No profile data,لا توجد بيانات شخصية
No recent bookings,لا توجد حجوزات سابقة
No relationships found,لا توجد علاقات
No Show,لم يحضر
No Shows / عدم الحضور,عدم الحضور
No spaces available,لا توجد مساحات متاحة
No spaces available at the moment.,لا توجد مساحات متاحة حالياً.
No spaces found,لا توجد مساحات
No upcoming bookings,لا توجد حجوزات قادمة
No upcoming events,لا توجد فعاليات قادمة
No {0} rate configured for space {1},لا يوجد سعر {0} مُعد للمساحة {1}
Not enough data for forecasting (need 14+ days),بيانات غير كافية للتنبؤ (يلزم 14+ يوماً)
Not Interested,غير مهتم
Notarized Document / مستند موثق,مستند موثق
Notes,ملاحظات
Notes / ملاحظات,ملاحظات
Notes — ملاحظات,ملاحظات
Notifications,الإشعارات
Number / الرقم,الرقم
Numbering,الترقيم
Occupancy,الإشغال
Occupancy %,نسبة الإشغال %
Occupancy Heatmap,خريطة الإشغال الحرارية
Occupancy Rate,نسبة الإشغال
Occupancy Rate / نسبة الإشغال,نسبة الإشغال
Occupancy Report,تقرير الإشغال
Occupied,مشغول
Occupied Spaces / المساحات المشغولة,المساحات المشغولة
Occupied — مشغول,مشغول
Off-Peak Discount,خصم خارج الذروة
Office Rental,إيجار مكتب
Onboarding,تهيئة
one-time,دفعة واحدة
One-time / مرة واحدة,مرة واحدة
Online,عبر الإنترنت
Online / إلكتروني,إلكتروني
Online Pay,الدفع الإلكتروني
Online Payment,الدفع الإلكتروني
Online payment via {0} — {1},دفع إلكتروني عبر {0} — {1}
Online payment {0} failed — {1},فشل الدفع الإلكتروني {0} — {1}
Online Payments,المدفوعات الإلكترونية
Online payments are not enabled. Please contact the administrator.,المدفوعات الإلكترونية غير مفعّلة. يرجى التواصل مع المسؤول.
Online Payments — الدفع الإلكتروني,الدفع الإلكتروني
Online Session,جلسة عن بُعد
Only active memberships can be transferred,يمكن نقل العضويات النشطة فقط
Only active memberships can be upgraded,يمكن ترقية العضويات النشطة فقط
Only Checked In bookings can be checked out. Current status: {0},يمكن تسجيل مغادرة الحجوزات المسجلة فقط. الحالة الحالية: {0}
Only completed payments can be refunded,يمكن استرداد المدفوعات المكتملة فقط
Only Confirmed bookings can be checked in. Current status: {0},يمكن تسجيل وصول الحجوزات المؤكدة فقط. الحالة الحالية: {0}
Only submitted memberships can be renewed,يمكن تجديد العضويات المقدمة فقط
Only the recipient can accept this request,المستلم فقط يمكنه قبول هذا الطلب
Only the recipient can decline this request,المستلم فقط يمكنه رفض هذا الطلب
Open for Registration,مفتوح للتسجيل
Open in Form,فتح في النموذج
Open Source,مفتوح المصدر
Open Space,فتح المساحة
Opening Time / وقت الافتتاح,وقت الافتتاح
Opening time must be before closing time,وقت الافتتاح يجب أن يكون قبل وقت الإغلاق
Operations,العمليات
Operations / العمليات,العمليات
Operations Bundle,حزمة العمليات
optional — you can choose later,اختياري — يمكنك الاختيار لاحقاً
"Organize spaces by type: Hot Desk, Private Office, Meeting Room, Event Hall, Studio, etc.",نظّم المساحات حسب النوع: مكتب مشترك، مكتب خاص، غرفة اجتماعات، قاعة فعاليات، استوديو، إلخ.
"Organize training content into modules — each module contains sessions, resources, and assessments.",نظم محتوى التدريب في وحدات — كل وحدة تحتوي على جلسات وموارد وتقييمات.
Organizer / المنظم,المنظم
organizes,ينظّم
Other,أخرى
Other / أخرى,أخرى
Other Revenue / إيرادات أخرى,إيرادات أخرى
Outcome,النتيجة
Outstanding,المستحق
Override Rate,تجاوز السعر
Override rate cannot be negative,سعر التجاوز لا يمكن أن يكون سالباً
Overview — نظرة عامة,نظرة عامة
pages/month,صفحة/شهر
Paid,مدفوع
Panel,حوارية
Parent,أساسي
Partially Refunded,مسترد جزئياً
Partner,شريك
Pass,التصريح
Pass Date,تاريخ التصريح
Pass Type,نوع التصريح
Passes & Visitors / التصاريح والزوار,التصاريح والزوار
Passes expire at end of business day automatically.,تنتهي التصاريح تلقائياً في نهاية يوم العمل.
Passport,جواز السفر
Passport / جواز السفر,جواز السفر
Past Events,فعاليات سابقة
Past Memberships,العضويات السابقة
Patterns / الأنماط,الأنماط
Pay,ادفع
Pay Online,ادفع إلكترونياً
Payment,الدفع
Payment amount must be greater than zero,مبلغ الدفع يجب أن يكون أكبر من صفر
Payment completed successfully!,تم الدفع بنجاح!
Payment Date / تاريخ الدفع,تاريخ الدفع
Payment Details,تفاصيل الدفع
